Strike,Open,High,Low,Last,Change,Bid,Ask,Volume,Open Int,Premium,Last Trade,Type
125.50C,0,4.77,4.77,4.77,-0.82,0,0,,,4770,04/24/24,Call
126.00C,0,4.29,4.29,4.29,-0.81,0,0,,,4290,04/24/24,Call
126.50C,0,3.82,3.82,3.82,-0.8,0,0,,,3820,04/24/24,Call
127.00C,0,3.36,3.36,3.36,-0.78,0,0,,,3360,04/24/24,Call
127.50C,0,2.91,2.91,2.91,-0.76,0,0,,2,2910,04/24/24,Call
128.00C,2.75,2.75,2.49,2.49,-0.72,0,0,2,,2490,04/24/24,Call
128.50C,0,2.1,2.1,2.1,-0.68,0,0,,22,2100,04/24/24,Call
129.00C,1.8,1.8,1.72,1.74,-0.62,0,0,4,,1740,04/24/24,Call
129.50C,0,1.41,1.41,1.41,-0.57,0,0,,19,1410,04/24/24,Call
130.00C,1.26,1.26,1.07,1.13,-0.5,0,0,297,29,1130,04/24/24,Call
130.50C,1,1,0.89,0.89,-0.42,0,0,491,2187,890,04/24/24,Call
131.00C,0.9,0.9,0.69,0.69,-0.36,0,0,2282,11908,690,04/24/24,Call
131.50C,0.69,0.69,0.5,0.54,-0.28,0,0,1570,7952,540,04/24/24,Call
132.00C,0.53,0.55,0.4,0.41,-0.23,0,0,684,18697,410,04/24/24,Call
132.50C,0.41,0.41,0.32,0.32,-0.18,0,0,3750,18282,320,04/24/24,Call
133.00C,0.33,0.33,0.25,0.25,-0.13,0,0,10531,18275,250,04/24/24,Call
133.50C,0.25,0.25,0.19,0.2,-0.1,0,0,305,18699,200,04/24/24,Call
134.00C,0.2,0.2,0.14,0.16,-0.07,0,0,4438,16422,160,04/24/24,Call
134.50C,0.15,0.15,0.12,0.13,-0.05,0,0,2848,31888,130,04/24/24,Call
135.00C,0.12,0.12,0.1,0.1,-0.05,0,0,11008,22694,100,04/24/24,Call
125.50P,0.04,0.05,0.04,0.05,0.03,0,0,100,659,50,04/24/24,Put
126.00P,0.06,0.07,0.06,0.07,0.04,0,0,2989,3593,70,04/24/24,Put
126.50P,0.09,0.1,0.09,0.1,0.05,0,0,270,416,100,04/24/24,Put
127.00P,0.09,0.14,0.09,0.14,0.07,0,0,910,10993,140,04/24/24,Put
127.50P,0.12,0.21,0.12,0.19,0.09,0,0,1960,4612,190,04/24/24,Put
128.00P,0.18,0.3,0.16,0.27,0.13,0,0,5582,9306,270,04/24/24,Put
128.50P,0.25,0.41,0.24,0.38,0.17,0,0,5241,8505,380,04/24/24,Put
129.00P,0.33,0.56,0.33,0.52,0.23,0,0,3061,20748,520,04/24/24,Put
129.50P,0.48,0.74,0.48,0.69,0.28,0,0,2556,14417,690,04/24/24,Put
130.00P,0.62,0.97,0.62,0.91,0.35,0,0,7831,23340,910,04/24/24,Put
130.50P,0.86,1.25,0.84,1.17,0.43,0,0,852,6908,1170,04/24/24,Put
131.00P,1.24,1.54,1.24,1.47,0.49,0,0,1233,6301,1470,04/24/24,Put
131.50P,1.4,1.91,1.4,1.82,0.57,0,0,1008,9011,1820,04/24/24,Put
132.00P,1.93,2.19,1.93,2.19,0.62,0,0,2342,6472,2190,04/24/24,Put
132.50P,2.1,2.6,2.1,2.6,0.67,0,0,2,2628,2600,04/24/24,Put
133.00P,0,3.03,3.03,3.03,0.72,0,0,,5226,3030,04/24/24,Put
133.50P,2.91,3.48,2.91,3.48,0.75,0,0,4,3423,3480,04/24/24,Put
134.00P,3.85,3.94,3.85,3.94,0.78,0,0,1,2536,3940,04/24/24,Put
134.50P,4.16,4.41,4.16,4.41,0.8,0,0,83,1556,4410,04/24/24,Put
135.00P,0,4.88,4.88,4.88,0.8,0,0,,604,4880,04/24/24,Put
